epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,3597.39,0.47931,0.47224,0.32166,0.00146,0.09997,0.99202,0.98807,0.99438,0.92881,0.99202,0.98807,0.99438,0.89514,0.45146,0.46815,0.31431,0.00166,0,0.0005446,0.0005446,0.0005446
48,3670.48,0.4765,0.51033,0.31182,0.00156,0.07474,0.94873,0.9835,0.98374,0.92606,0.94873,0.9835,0.98374,0.89836,0.44904,0.46935,0.40031,0.00167,0,0.0005347,0.0005347,0.0005347
49,3743.54,0.44951,0.44057,0.29024,0.00141,0.07782,0.86396,0.9509,0.8766,0.81702,0.86396,0.9509,0.8766,0.79065,0.42301,0.50729,0.50751,0.00155,0,0.0005248,0.0005248,0.0005248
50,3818.67,0.44612,0.49628,0.28521,0.00137,0.0826,0.85373,0.95597,0.87616,0.82276,0.85373,0.95597,0.87616,0.79151,0.42656,0.4973,0.42442,0.00157,0,0.0005149,0.0005149,0.0005149
51,3892.61,0.42818,0.39752,0.25557,0.00137,0.06274,0.98411,0.97634,0.99334,0.94146,0.98411,0.97634,0.99334,0.90028,0.4226,0.50335,0.23467,0.00162,0,0.000505,0.000505,0.000505
52,3966.02,0.45203,0.42066,0.28436,0.0015,0.06245,0.98793,0.95352,0.97252,0.91166,0.98793,0.95352,0.97061,0.88349,0.45057,0.54694,0.48044,0.00174,0,0.0004951,0.0004951,0.0004951
53,4038.74,0.42539,0.37343,0.24745,0.00147,0.0685,0.98972,0.96647,0.98803,0.93484,0.98972,0.96647,0.98803,0.89358,0.44673,0.51182,0.35234,0.00176,0,0.0004852,0.0004852,0.0004852
54,4110.94,0.4575,0.43264,0.2678,0.00157,0.07338,0.98267,0.97995,0.98991,0.9285,0.98267,0.97995,0.98991,0.9033,0.43662,0.48412,0.3265,0.00161,0,0.0004753,0.0004753,0.0004753
55,4183.81,0.43559,0.40421,0.26839,0.00147,0.06768,0.89641,0.96724,0.98011,0.91868,0.89641,0.96724,0.98011,0.88889,0.4265,0.48052,0.37908,0.00154,0,0.0004654,0.0004654,0.0004654
56,4257.14,0.42763,0.41982,0.235,0.00136,0.06098,0.98474,0.96052,0.99101,0.93773,0.98474,0.96052,0.99101,0.90106,0.40284,0.47055,0.3453,0.00153,0,0.0004555,0.0004555,0.0004555
57,4329.39,0.42484,0.41054,0.26354,0.00128,0.09833,0.97929,0.96941,0.98817,0.94044,0.97929,0.96941,0.98817,0.89888,0.36904,0.46511,0.3847,0.00135,0,0.0004456,0.0004456,0.0004456
58,4402.41,0.4289,0.43045,0.26553,0.00136,0.07968,0.98158,0.98325,0.99009,0.92759,0.98158,0.98325,0.99009,0.89812,0.39245,0.50316,0.34052,0.00143,0,0.0004357,0.0004357,0.0004357
59,4476.09,0.42264,0.4436,0.24908,0.00177,0.06756,0.97798,0.98447,0.99121,0.94116,0.97798,0.98447,0.99121,0.89849,0.37699,0.49729,0.32563,0.00138,0,0.0004258,0.0004258,0.0004258
